timestamp,accuracy,error,in_latency_window,retrain_active,deploy_active
0,1.0000,0.0000,True,True,False
1,1.0000,0.0000,True,True,False
2,0.0000,1.0000,True,True,False
3,0.0000,1.0000,True,True,False
4,0.0000,1.0000,True,True,False
5,0.0000,1.0000,True,True,False
6,0.0000,1.0000,True,True,False
7,0.0000,1.0000,True,True,False
8,1.0000,0.0000,True,True,False
9,0.0000,1.0000,True,True,False
10,0.0000,1.0000,True,True,False
11,0.0000,1.0000,True,True,False
12,1.0000,0.0000,True,True,False
13,0.0000,1.0000,True,True,False
14,1.0000,0.0000,True,True,False
15,1.0000,0.0000,True,True,False
16,1.0000,0.0000,True,True,False
17,0.0000,1.0000,True,True,False
18,0.0000,1.0000,True,True,False
19,1.0000,0.0000,True,True,False
20,0.0000,1.0000,True,True,False
21,0.0000,1.0000,True,True,False
22,1.0000,0.0000,True,True,False
23,1.0000,0.0000,True,True,False
24,1.0000,0.0000,True,True,False
25,1.0000,0.0000,True,True,False
26,1.0000,0.0000,True,True,False
27,0.0000,1.0000,True,True,False
28,1.0000,0.0000,True,True,False
29,1.0000,0.0000,True,True,False
30,1.0000,0.0000,True,True,False
31,0.0000,1.0000,True,True,False
32,0.0000,1.0000,True,True,False
33,0.0000,1.0000,True,True,False
34,1.0000,0.0000,True,True,False
35,1.0000,0.0000,True,True,False
36,1.0000,0.0000,True,True,False
37,1.0000,0.0000,True,True,False
38,1.0000,0.0000,True,True,False
39,1.0000,0.0000,True,True,False
40,1.0000,0.0000,True,True,False
41,0.0000,1.0000,True,True,False
42,1.0000,0.0000,True,True,False
43,1.0000,0.0000,True,True,False
44,1.0000,0.0000,True,True,False
45,0.0000,1.0000,True,True,False
46,0.0000,1.0000,True,True,False
47,0.0000,1.0000,True,True,False
48,0.0000,1.0000,True,True,False
49,1.0000,0.0000,True,True,False
50,0.0000,1.0000,True,True,False
51,0.0000,1.0000,True,True,False
52,1.0000,0.0000,True,True,False
53,0.0000,1.0000,True,True,False
54,1.0000,0.0000,True,True,False
55,1.0000,0.0000,True,True,False
56,0.0000,1.0000,True,True,False
57,1.0000,0.0000,True,True,False
58,1.0000,0.0000,True,True,False
59,1.0000,0.0000,True,True,False
60,0.0000,1.0000,True,True,False
61,1.0000,0.0000,True,True,False
62,1.0000,0.0000,True,True,False
63,1.0000,0.0000,True,True,False
64,0.0000,1.0000,True,True,False
65,1.0000,0.0000,True,True,False
66,1.0000,0.0000,True,True,False
67,1.0000,0.0000,True,True,False
68,0.0000,1.0000,True,True,False
69,0.0000,1.0000,True,True,False
70,1.0000,0.0000,True,True,False
71,0.0000,1.0000,True,True,False
72,0.0000,1.0000,True,True,False
73,0.0000,1.0000,True,True,False
74,0.0000,1.0000,True,True,False
75,0.0000,1.0000,True,True,False
76,0.0000,1.0000,True,True,False
77,1.0000,0.0000,True,True,False
78,0.0000,1.0000,True,True,False
79,1.0000,0.0000,True,True,False
80,1.0000,0.0000,True,True,False
81,1.0000,0.0000,True,True,False
82,1.0000,0.0000,True,True,False
83,0.0000,1.0000,True,True,False
84,0.0000,1.0000,True,True,False
85,1.0000,0.0000,True,True,False
86,1.0000,0.0000,True,True,False
87,0.0000,1.0000,True,True,False
88,0.0000,1.0000,True,True,False
89,0.0000,1.0000,True,True,False
90,1.0000,0.0000,True,True,False
91,0.0000,1.0000,True,True,False
92,0.0000,1.0000,True,True,False
93,0.0000,1.0000,True,True,False
94,0.0000,1.0000,True,True,False
95,0.0000,1.0000,True,True,False
96,0.0000,1.0000,True,True,False
97,1.0000,0.0000,True,True,False
98,1.0000,0.0000,True,True,False
99,1.0000,0.0000,True,True,False
100,1.0000,0.0000,True,True,False
101,1.0000,0.0000,True,True,False
102,1.0000,0.0000,True,True,False
103,0.0000,1.0000,True,True,False
104,1.0000,0.0000,True,True,False
105,1.0000,0.0000,True,True,False
106,0.0000,1.0000,True,True,False
107,0.0000,1.0000,True,True,False
108,0.0000,1.0000,True,True,False
109,1.0000,0.0000,True,True,False
110,1.0000,0.0000,True,True,False
111,0.0000,1.0000,True,True,False
112,0.0000,1.0000,True,True,False
113,0.0000,1.0000,True,True,False
114,1.0000,0.0000,True,True,False
115,0.0000,1.0000,True,True,False
116,0.0000,1.0000,True,True,False
117,1.0000,0.0000,True,True,False
118,1.0000,0.0000,True,True,False
119,1.0000,0.0000,True,True,False
120,1.0000,0.0000,True,True,False
121,1.0000,0.0000,True,True,False
122,0.0000,1.0000,True,True,False
123,1.0000,0.0000,True,True,False
124,0.0000,1.0000,True,True,False
125,1.0000,0.0000,True,True,False
126,0.0000,1.0000,True,True,False
127,0.0000,1.0000,True,True,False
128,0.0000,1.0000,True,True,False
129,0.0000,1.0000,True,True,False
130,0.0000,1.0000,True,True,False
131,0.0000,1.0000,True,True,False
132,1.0000,0.0000,True,True,False
133,0.0000,1.0000,True,True,False
134,0.0000,1.0000,True,True,False
135,1.0000,0.0000,True,True,False
136,0.0000,1.0000,True,True,False
137,0.0000,1.0000,True,True,False
138,1.0000,0.0000,True,True,False
139,0.0000,1.0000,True,True,False
140,1.0000,0.0000,True,True,False
141,1.0000,0.0000,True,True,False
142,0.0000,1.0000,True,True,False
143,0.0000,1.0000,True,True,False
144,0.0000,1.0000,True,True,False
145,0.0000,1.0000,True,True,False
146,0.0000,1.0000,True,True,False
147,0.0000,1.0000,True,True,False
148,1.0000,0.0000,True,True,False
149,0.0000,1.0000,True,True,False
150,1.0000,0.0000,True,True,False
151,1.0000,0.0000,True,True,False
152,0.0000,1.0000,True,True,False
153,1.0000,0.0000,True,True,False
154,1.0000,0.0000,True,True,False
155,1.0000,0.0000,True,True,False
156,1.0000,0.0000,True,True,False
157,0.0000,1.0000,True,True,False
158,0.0000,1.0000,True,True,False
159,1.0000,0.0000,True,True,False
160,0.0000,1.0000,True,True,False
161,1.0000,0.0000,True,True,False
162,1.0000,0.0000,True,True,False
163,0.0000,1.0000,True,True,False
164,1.0000,0.0000,True,True,False
165,0.0000,1.0000,True,True,False
166,0.0000,1.0000,True,True,False
167,0.0000,1.0000,True,True,False
168,1.0000,0.0000,True,True,False
169,1.0000,0.0000,True,True,False
170,1.0000,0.0000,True,True,False
171,0.0000,1.0000,True,True,False
172,1.0000,0.0000,True,True,False
173,1.0000,0.0000,True,True,False
174,1.0000,0.0000,True,True,False
175,1.0000,0.0000,True,True,False
176,0.0000,1.0000,True,True,False
177,0.0000,1.0000,True,True,False
178,1.0000,0.0000,True,True,False
179,1.0000,0.0000,True,True,False
180,1.0000,0.0000,True,True,False
181,1.0000,0.0000,True,True,False
182,1.0000,0.0000,True,True,False
183,1.0000,0.0000,True,True,False
184,1.0000,0.0000,True,True,False
185,0.0000,1.0000,True,True,False
186,1.0000,0.0000,True,True,False
187,1.0000,0.0000,True,True,False
188,0.0000,1.0000,True,True,False
189,0.0000,1.0000,True,True,False
190,1.0000,0.0000,True,True,False
191,1.0000,0.0000,True,True,False
192,1.0000,0.0000,True,True,False
193,0.0000,1.0000,True,True,False
194,1.0000,0.0000,True,True,False
195,1.0000,0.0000,True,True,False
196,1.0000,0.0000,True,True,False
197,0.0000,1.0000,True,True,False
198,1.0000,0.0000,True,True,False
199,0.0000,1.0000,True,True,False
200,1.0000,0.0000,True,True,False
201,0.0000,1.0000,True,True,False
202,1.0000,0.0000,True,True,False
203,1.0000,0.0000,True,True,False
204,1.0000,0.0000,True,True,False
205,0.0000,1.0000,True,True,False
206,0.0000,1.0000,True,True,False
207,0.0000,1.0000,True,True,False
208,0.0000,1.0000,True,True,False
209,0.0000,1.0000,True,True,False
210,0.0000,1.0000,True,True,False
211,1.0000,0.0000,True,True,False
212,0.0000,1.0000,True,True,False
213,0.0000,1.0000,True,True,False
214,0.0000,1.0000,True,True,False
215,1.0000,0.0000,True,True,False
216,0.0000,1.0000,True,True,False
217,1.0000,0.0000,True,True,False
218,0.0000,1.0000,True,True,False
219,0.0000,1.0000,True,True,False
220,1.0000,0.0000,True,True,False
221,1.0000,0.0000,True,True,False
222,1.0000,0.0000,True,True,False
223,0.0000,1.0000,True,True,False
224,0.0000,1.0000,True,True,False
225,1.0000,0.0000,True,True,False
226,1.0000,0.0000,True,True,False
227,0.0000,1.0000,True,True,False
228,1.0000,0.0000,True,True,False
229,0.0000,1.0000,True,True,False
230,1.0000,0.0000,True,True,False
231,1.0000,0.0000,True,True,False
232,0.0000,1.0000,True,True,False
233,1.0000,0.0000,True,True,False
234,0.0000,1.0000,True,True,False
235,0.0000,1.0000,True,True,False
236,0.0000,1.0000,True,True,False
237,0.0000,1.0000,True,True,False
238,0.0000,1.0000,True,True,False
239,0.0000,1.0000,True,True,False
240,0.0000,1.0000,True,True,False
241,0.0000,1.0000,True,True,False
242,1.0000,0.0000,True,True,False
243,1.0000,0.0000,True,True,False
244,0.0000,1.0000,True,True,False
245,1.0000,0.0000,True,True,False
246,0.0000,1.0000,True,True,False
247,0.0000,1.0000,True,True,False
248,0.0000,1.0000,True,True,False
249,1.0000,0.0000,True,True,False
250,0.0000,1.0000,True,True,False
251,0.0000,1.0000,True,True,False
252,1.0000,0.0000,True,True,False
253,1.0000,0.0000,True,True,False
254,0.0000,1.0000,True,True,False
255,0.0000,1.0000,True,True,False
256,1.0000,0.0000,True,True,False
257,1.0000,0.0000,True,True,False
258,1.0000,0.0000,True,True,False
259,1.0000,0.0000,True,True,False
260,0.0000,1.0000,True,True,False
261,1.0000,0.0000,True,True,False
262,0.0000,1.0000,True,True,False
263,1.0000,0.0000,True,True,False
264,0.0000,1.0000,True,True,False
265,1.0000,0.0000,True,True,False
266,1.0000,0.0000,True,True,False
267,1.0000,0.0000,True,True,False
268,0.0000,1.0000,True,True,False
269,0.0000,1.0000,True,True,False
270,1.0000,0.0000,True,True,False
271,1.0000,0.0000,True,True,False
272,0.0000,1.0000,True,True,False
273,1.0000,0.0000,True,True,False
274,0.0000,1.0000,True,True,False
275,1.0000,0.0000,True,True,False
276,1.0000,0.0000,True,True,False
277,0.0000,1.0000,True,True,False
278,0.0000,1.0000,True,True,False
279,0.0000,1.0000,True,True,False
280,1.0000,0.0000,True,True,False
281,1.0000,0.0000,True,True,False
282,0.0000,1.0000,True,True,False
283,1.0000,0.0000,True,True,False
284,1.0000,0.0000,True,True,False
285,0.0000,1.0000,True,True,False
286,1.0000,0.0000,True,True,False
287,0.0000,1.0000,True,True,False
288,1.0000,0.0000,True,True,False
289,1.0000,0.0000,True,True,False
290,1.0000,0.0000,True,True,False
291,0.0000,1.0000,True,True,False
292,1.0000,0.0000,True,True,False
293,0.0000,1.0000,True,True,False
294,0.0000,1.0000,True,True,False
295,0.0000,1.0000,True,True,False
296,0.0000,1.0000,True,True,False
297,1.0000,0.0000,True,True,False
298,0.0000,1.0000,True,True,False
299,1.0000,0.0000,True,True,False
300,1.0000,0.0000,True,True,False
301,1.0000,0.0000,True,True,False
302,0.0000,1.0000,True,True,False
303,0.0000,1.0000,True,True,False
304,0.0000,1.0000,True,True,False
305,0.0000,1.0000,True,True,False
306,1.0000,0.0000,True,True,False
307,1.0000,0.0000,True,True,False
308,0.0000,1.0000,True,True,False
309,1.0000,0.0000,True,True,False
310,1.0000,0.0000,True,True,False
311,1.0000,0.0000,True,True,False
312,1.0000,0.0000,True,True,False
313,1.0000,0.0000,True,True,False
314,1.0000,0.0000,True,True,False
315,0.0000,1.0000,True,True,False
316,1.0000,0.0000,True,True,False
317,1.0000,0.0000,True,True,False
318,1.0000,0.0000,True,True,False
319,0.0000,1.0000,True,True,False
320,0.0000,1.0000,True,True,False
321,0.0000,1.0000,True,True,False
322,1.0000,0.0000,True,True,False
323,0.0000,1.0000,True,True,False
324,0.0000,1.0000,True,True,False
325,1.0000,0.0000,True,True,False
326,0.0000,1.0000,True,True,False
327,0.0000,1.0000,True,True,False
328,0.0000,1.0000,True,True,False
329,0.0000,1.0000,True,True,False
330,0.0000,1.0000,True,True,False
331,0.0000,1.0000,True,True,False
332,1.0000,0.0000,True,True,False
333,1.0000,0.0000,True,True,False
334,1.0000,0.0000,True,True,False
335,0.0000,1.0000,True,True,False
336,1.0000,0.0000,True,True,False
337,1.0000,0.0000,True,True,False
338,0.0000,1.0000,True,True,False
339,1.0000,0.0000,True,True,False
340,0.0000,1.0000,True,True,False
341,0.0000,1.0000,True,True,False
342,0.0000,1.0000,True,True,False
343,1.0000,0.0000,True,True,False
344,0.0000,1.0000,True,True,False
345,1.0000,0.0000,True,True,False
346,1.0000,0.0000,True,True,False
347,1.0000,0.0000,True,True,False
348,1.0000,0.0000,True,True,False
349,0.0000,1.0000,True,True,False
350,0.0000,1.0000,True,True,False
351,1.0000,0.0000,True,True,False
352,0.0000,1.0000,True,True,False
353,0.0000,1.0000,True,True,False
354,1.0000,0.0000,True,True,False
355,1.0000,0.0000,True,True,False
356,1.0000,0.0000,True,True,False
357,1.0000,0.0000,True,True,False
358,0.0000,1.0000,True,True,False
359,1.0000,0.0000,True,True,False
360,0.0000,1.0000,True,True,False
361,0.0000,1.0000,True,True,False
362,0.0000,1.0000,True,True,False
363,1.0000,0.0000,True,True,False
364,1.0000,0.0000,True,True,False
365,1.0000,0.0000,True,True,False
366,0.0000,1.0000,True,True,False
367,0.0000,1.0000,True,True,False
368,0.0000,1.0000,True,True,False
369,0.0000,1.0000,True,True,False
370,0.0000,1.0000,True,True,False
371,1.0000,0.0000,True,True,False
372,0.0000,1.0000,True,True,False
373,0.0000,1.0000,True,True,False
374,0.0000,1.0000,True,True,False
375,0.0000,1.0000,True,True,False
376,1.0000,0.0000,True,True,False
377,1.0000,0.0000,True,True,False
378,1.0000,0.0000,True,True,False
379,0.0000,1.0000,True,True,False
380,1.0000,0.0000,True,True,False
381,0.0000,1.0000,True,True,False
382,1.0000,0.0000,True,True,False
383,0.0000,1.0000,True,True,False
384,0.0000,1.0000,True,True,False
385,1.0000,0.0000,True,True,False
386,1.0000,0.0000,True,True,False
387,1.0000,0.0000,True,True,False
388,0.0000,1.0000,True,True,False
389,1.0000,0.0000,True,True,False
390,0.0000,1.0000,True,True,False
391,0.0000,1.0000,True,True,False
392,0.0000,1.0000,True,True,False
393,1.0000,0.0000,True,True,False
394,1.0000,0.0000,True,True,False
395,0.0000,1.0000,True,True,False
396,1.0000,0.0000,True,True,False
397,1.0000,0.0000,True,True,False
398,1.0000,0.0000,True,True,False
399,1.0000,0.0000,True,True,False
400,0.0000,1.0000,True,True,False
401,0.0000,1.0000,True,True,False
402,1.0000,0.0000,True,True,False
403,0.0000,1.0000,True,True,False
404,1.0000,0.0000,True,True,False
405,1.0000,0.0000,True,True,False
406,0.0000,1.0000,True,True,False
407,1.0000,0.0000,True,True,False
408,0.0000,1.0000,True,True,False
409,1.0000,0.0000,True,True,False
410,1.0000,0.0000,True,True,False
411,1.0000,0.0000,True,True,False
412,0.0000,1.0000,True,True,False
413,0.0000,1.0000,True,True,False
414,0.0000,1.0000,True,True,False
415,0.0000,1.0000,True,True,False
416,1.0000,0.0000,True,True,False
417,1.0000,0.0000,True,True,False
418,1.0000,0.0000,True,True,False
419,0.0000,1.0000,True,True,False
420,0.0000,1.0000,True,True,False
421,0.0000,1.0000,True,True,False
422,1.0000,0.0000,True,True,False
423,0.0000,1.0000,True,True,False
424,1.0000,0.0000,True,True,False
425,1.0000,0.0000,True,True,False
426,1.0000,0.0000,True,True,False
427,0.0000,1.0000,True,True,False
428,0.0000,1.0000,True,True,False
429,1.0000,0.0000,True,True,False
430,1.0000,0.0000,True,True,False
